ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
100105,100368,11,2.31578,0
100106,100105,11,2.20577,0
100106,100369,11,1.27348,0
100107,100132,11,3.97551,0
100107,100367,11,1.66751,0
100107,100368,11,1.22886,0
100108,100135,11,4.42827,0
100108,100367,11,5.43962,0
100109,100110,11,0.76933,0
100109,100111,11,0.69927,0
100110,100104,11,7.24654,0
100110,100109,11,0.76933,0
100110,100369,11,0.13927,0
100111,100109,11,0.69927,0
100112,100113,11,4.87113,0
100113,100104,11,6.43322,0
100113,100112,11,4.87113,0
100114,100121,11,1.58595,0
100114,100144,11,2.8361,0
100115,100102,11,3.63377,0
100115,100116,11,4.03782,0
100116,100115,11,4.03782,0
100116,100123,11,1.92281,0
100117,100118,11,1.09371,0
100117,100120,11,2.17795,0
100118,100117,11,1.09371,0
100118,100122,11,1.37015,0
100119,100120,11,1.91124,0
100120,100117,11,2.17795,0
100120,100119,11,1.91124,0
100121,100114,11,1.58595,0
100121,100123,11,2.11121,0
100122,100118,11,1.37015,0
100122,100370,11,1.31924,0
100123,100116,11,1.92281,0
100123,100121,11,2.11121,0
100124,100126,11,10.9608,0
100124,100146,11,3.4068,0
100125,100387,11,1.76316,0
100126,100068,11,17.1847,0
100126,100124,11,10.9608,0
100127,100128,11,0.79384,0
100127,100129,11,3.18599,0
100128,100127,11,0.79384,0
100128,100131,11,4.66997,0
100129,100127,11,3.18599,0
100129,100167,11,0.24026,0
100130,100103,11,14.495,0
100130,100167,11,1.68749,0
100131,100128,11,4.66997,0
100131,100133,11,1.95141,0
100132,100107,11,3.97551,0
100132,100365,11,5.79157,0
100133,100131,11,1.95141,0
100133,100148,11,12.4606,0
100133,100365,11,0.10198,0
100134,100135,11,6.54099,0
100134,100136,11,4.44228,0
100135,100108,11,4.42827,0
100135,100134,11,6.54099,0
100136,100134,11,4.44228,0
100136,100157,11,2.35825,0
100137,100139,11,2.1609,0
100137,100140,11,4.55889,0
100138,100142,11,2.62954,0
100138,100145,11,1.84409,0
100139,100137,11,2.1609,0
100139,100144,11,0.80215,0
100140,100137,11,4.55889,0
100140,100166,11,6.35333,0
100141,100162,11,1.04551,0
100141,100388,11,0.64698,0
100142,100138,11,2.62954,0
100142,100143,11,5.10654,0
100142,100388,11,0.05374,0
100143,100142,11,5.10654,0
100143,100146,11,5.329,0
100144,100114,11,2.8361,0
100144,100139,11,0.80215,0
100144,100370,11,0.68929,0
100145,100138,11,1.84409,0
100145,100147,11,1.95423,0
100146,100124,11,3.4068,0
100146,100143,11,5.329,0
100146,100387,11,0.35715,0
100147,100145,11,1.95423,0
100148,100133,11,12.4606,0
100148,100150,11,3.35815,0
100148,100366,11,0.20341,0
100149,100150,11,5.19782,0
100149,100151,11,3.56858,0
100150,100148,11,3.35815,0
100150,100149,11,5.19782,0
100151,100149,11,3.56858,0
100151,100153,11,14.7541,0
100152,100172,11,6.21758,0
100153,100151,11,14.7541,0
100153,100190,11,2.58401,0
100154,100155,11,1.23262,0
100154,100166,11,6.75875,0
100155,100154,11,1.23262,0
100155,100158,11,5.26772,0
100155,100200,11,3.62266,0
100156,100159,11,1.77804,0
100157,100136,11,2.35825,0
100157,100158,11,2.24466,0
100158,100155,11,5.26772,0
100158,100157,11,2.24466,0
100159,100156,11,1.77804,0
100159,100211,11,2.33929,0
100160,100163,11,1.46465,0
100160,100223,11,1.35867,0
100161,100163,11,2.08424,0
100161,100165,11,2.73755,0
100162,100141,11,1.04551,0
100162,100165,11,4.40327,0
100163,100160,11,1.46465,0
100163,100161,11,2.08424,0
100163,100164,11,2.01744,0
100164,100163,11,2.01744,0
100164,100178,11,1.37557,0
100165,100161,11,2.73755,0
100165,100162,11,4.40327,0
100166,100140,11,6.35333,0
100166,100154,11,6.75875,0
100167,100129,11,0.24026,0
100167,100130,11,1.68749,0
100167,100364,11,17.1915,0
100168,100169,11,1.39487,0
100168,100173,11,2.10344,0
100169,100168,11,1.39487,0
100169,100172,11,1.51179,0
100170,100176,11,1.6109,0
100170,100227,11,2.38543,0
100171,100174,11,1.47383,0
100171,100436,11,0.99159,0
100172,100152,11,6.21758,0
100172,100169,11,1.51179,0
100173,100168,11,2.10344,0
100173,100446,11,1.05885,0
100174,100171,11,1.47383,0
100174,100175,11,2.02851,0
100175,100174,11,2.02851,0
100175,100176,11,1.36887,0
100176,100170,11,1.6109,0
100176,100175,11,1.36887,0
100177,100399,11,0.64152,0
100177,100400,11,0.43381,0
100178,100164,11,1.37557,0
100178,100206,11,1.57449,0
100179,100194,11,0.64499,0
100179,100205,11,0.64104,0
100180,100188,11,0.56503,0
100180,100193,11,1.09936,0
100181,100206,11,0.77501,0
100181,100398,11,1.49214,0
100182,100186,11,0.6631,0
100182,100210,11,0.65138,0
100183,100190,11,1.10272,0
100183,100197,11,1.14549,0
100184,100205,11,1.76583,0
100184,100216,11,0.60987,0
100185,100193,11,0.89478,0
100185,100440,11,0.22384,0
100186,100182,11,0.6631,0
100186,100437,11,1.00514,0
100186,100440,11,0.28023,0
100187,100209,11,1.48924,0
100187,100436,11,0.8217,0
100188,100180,11,0.56503,0
100188,100195,11,0.82368,0
100189,100199,11,1.17228,0
100189,100406,11,1.27353,0
100190,100153,11,2.58401,0
100190,100183,11,1.10272,0
100191,100210,11,0.91776,0
100191,100441,11,0.38045,0
100192,100211,11,1.15922,0
100192,100212,11,1.00654,0
100193,100180,11,1.09936,0
100193,100185,11,0.89478,0
100194,100179,11,0.64499,0
100194,100400,11,0.28891,0
100195,100188,11,0.82368,0
100195,100446,11,0.99811,0
100196,100242,11,1.1559,0
100196,100443,11,0.2691,0
100197,100183,11,1.14549,0
100197,100436,11,1.10163,0
100198,100398,11,0.32016,0
100198,100405,11,0.1501,0
100199,100189,11,1.17228,0
100199,100405,11,0.58197,0
100200,100155,11,3.62266,0
100200,100201,11,0.99861,0
100201,100200,11,0.99861,0
100201,100215,11,1.0032,0
100202,100203,11,0.82551,0
100202,100248,11,1.03346,0
100203,100202,11,0.82551,0
100203,100213,11,1.20516,0
100203,100403,11,2.18705,0
100204,100217,11,0.77356,0
100204,100219,11,0.78896,0
100204,100434,11,0.66483,0
100205,100179,11,0.64104,0
100205,100184,11,1.76583,0
100206,100178,11,1.57449,0
100206,100181,11,0.77501,0
100207,100219,11,0.85927,0
100207,100406,11,0.69693,0
100208,100212,11,2.41787,0
100208,100435,11,0.97623,0
100209,100187,11,1.48924,0
100209,100439,11,0.92299,0
100210,100182,11,0.65138,0
100210,100191,11,0.91776,0
100211,100159,11,2.33929,0
100211,100192,11,1.15922,0
100212,100192,11,1.00654,0
100212,100208,11,2.41787,0
100213,100203,11,1.20516,0
100213,100406,11,1.52086,0
100214,100442,11,0.66565,0
100214,100445,11,0.02687,0
100215,100201,11,1.0032,0
100215,100435,11,3.32992,0
100216,100184,11,0.60987,0
100216,100401,11,0.21235,0
100217,100204,11,0.77356,0
100217,100247,11,1.54022,0
100218,100397,11,0.62134,0
100218,100399,11,0.2792,0
100219,100204,11,0.78896,0
100219,100207,11,0.85927,0
100220,100395,11,0.47265,0
100220,100399,11,1.34413,0
100220,100400,11,1.94854,0
100221,100222,11,2.58372,0
100222,100221,11,2.58372,0
100222,100225,11,0.90134,0
100223,100160,11,1.35867,0
100223,100224,11,1.4083,0
100224,100223,11,1.4083,0
100224,100396,11,1.6692,0
100225,100222,11,0.90134,0
100225,100396,11,1.60543,0
100226,100255,11,12.1077,0
100226,100363,11,11.7742,0
100227,100170,11,2.38543,0
100227,100228,11,2.54231,0
100228,100227,11,2.54231,0
100229,100263,11,2.83174,0
100229,100428,11,3.91077,0
100230,100427,11,0.52257,0
100230,100428,11,2.922,0
100231,100267,11,3.98809,0
100231,100999,11,2.035,0
100232,100403,11,0.72019,0
100232,100408,11,0.37494,0
100233,100238,11,1.99845,0
100233,100243,11,1.21641,0
100234,100431,11,0.44682,0
100234,100432,11,0.04492,0
100235,100428,11,0.09327,0
100235,100429,11,0.5305,0
100236,100244,11,1.71287,0
100236,100250,11,1.28894,0
