SName,TIPLOC,Alpha,Cube Node,NAME,LA,X,Y
BROUGHTY FERRY,BRFRY,BYF,100093,Broughty Ferry,0,346247,730955
BALMOSSIE,BALMOSS,BSI,100094,Balmossie,0,348465,731722
GOLF STREET,GOLFSTR,GOF,100095,Golf Street,0,355801,734230
CARNOUSTIE,CNST,CAN,100096,Carnoustie,0,356660,734508
BARRY LINKS (FIFE),BRRYLNK,BYL,100097,Barry Links,0,354226,733719
ARBROATH,ARBROTH,ARB,100098,Arbroath,0,363894,741029
MONTROSE,MONTRSE,MTS,100099,Montrose,0,371193,758022
STONEHAVEN,SHVN,STN,100100,Stonehaven,0,386408,786214
PORTLETHEN,PLTH,PLN,100101,Portlethen,0,392324,796686
WEMYSS BAY,WEMYSSB,WMS,100102,Wemyss Bay,0,219344,668575
MAYBOLE,MAYBOLE,MAY,100103,Maybole,0,229853,610031
WEST KILBRIDE,WKILBRD,WKB,100104,West Kilbride,0,220899,648492
STEVENSTON,STVNSTN,STV,100105,Stevenston,0,226973,641285
SALTCOATS,SLCT,SLT,100106,Saltcoats,0,224814,641330
DALRY,DALRY,DLY,100108,Dalry,0,229728,649102
ARDROSSAN TOWN,ARDRSTN,ADN,100109,Ardrossan Town,0,223084,642077
ARDROSSAN HARBOUR,ARDRSHB,ADS,100111,Ardrossan Harbour,0,222523,642108
LARGS,LARGS,LAR,100112,Largs,0,220317,659270
FAIRLIE,FAIRLIE,FRL,100113,Fairlie,0,221031,654604
WHINHILL,WHINH,WNL,100114,Whinhill,0,228535,675120
INVERKIP,INVERKP,INP,100115,Inverkip,0,220494,671840
IBM (GREENOCK),IBMM,IBM,100116,IBM,0,223465,674310
GREENOCK WEST,GRENCKW,GKW,100117,Greenock West,0,227242,676167
GREENOCK CENTRAL,GRENCKC,GKC,100118,Greenock Central,0,228250,675882
GOUROCK,GOUROCK,GRK,100119,Gourock,0,224306,677939
FORT MATILDA,FRTMTLD,FTM,100120,Fort Matilda,0,225615,677521
DRUMFROCHAR,DRMFCHR,DFR,100121,Drumfrochar,0,227005,675491
CARTSDYKE,CRTSDYK,CDY,100122,Cartsdyke,0,229475,675490
BRANCHTON,BRNCHTN,BCN,100123,Branchton,0,224973,675486
HELENSBURGH UPPER,HLNSBRU,HLU,100124,Helensburgh Upper,0,229822,683323
HELENSBURGH CENTRAL,HLNSBRC,HLC,100125,Helensburgh Central,0,229820,682342
GARELOCHHEAD,GRLCHHD,GCH,100126,Garelochhead,0,224263,691053
PRESTWICK TOWN,PWCK,PTW,100127,Prestwick Town,0,234975,626235
PRESTWICK INTL AIRPORT,PWCKAPT,PRA,100128,Prestwick International Airport,0,235015,627026
NEWTON-ON-AYR,NWTOA,NOA,100129,Newton-on-Ayr,0,234110,623193
AYR,AYRR,AYR,100130,Ayr,0,234061,621402
TROON,TROON,TRN,100131,Troon,0,232530,630900
IRVINE,IRVN,IRV,100132,Irvine,0,231628,638506
LOCHWINNOCH,LCHWNCH,LHW,100134,Lochwinnoch,0,236035,657912
GLENGARNOCK,GLGN,GLG,100135,Glengarnock,0,232139,652729
HOWWOOD (RENFREWSHIRE),HOWOOD,HOZ,100136,Howwood (Renfrewshire),0,239531,660461
WOODHALL,WHHL,WDL,100137,Woodhall,0,234179,674104
RENTON,RENTON,RTN,100138,Renton,0,238685,678286
PORT GLASGOW,PTGLSGW,PTG,100139,Port Glasgow,0,232058,674421
LANGBANK,LGBK,LGB,100140,Langbank,0,238555,673164
DUMBARTON CENTRAL,DMBRTNC,DBC,100141,Dumbarton Central,0,239770,675591
CARDROSS,CDRS,CDR,100143,Cardross,0,234493,677313
ALEXANDRIA,ALXANDR,ALX,100145,Alexandria,0,239311,679931
BALLOCH,BALLOCH,BHC,100147,Balloch,0,239004,681849
STEWARTON,STEWRTN,STT,100149,Stewarton,0,241776,646054
KILMAURS,KLMAURS,KLM,100150,Kilmaurs,0,240813,641036
DUNLOP,DNLP,DNL,100151,Dunlop,0,240983,649339
NEILSTON,NEILSTN,NEI,100152,Neilston,0,247855,657048
BARRHEAD,BRHD,BRR,100153,Barrhead,0,249892,659378
PAISLEY ST JAMES,PSLYSTJ,PYJ,100154,Paisley St James,0,247225,664780
PAISLEY GILMOUR STREET,PSLYGST,PYG,100155,Paisley Gilmour Street,0,248311,664234
PAISLEY CANAL,PSLYCAN,PCN,100156,Paisley Canal,0,248321,663422
MILLIKEN PARK,MILKNPK,MIN,100157,Milliken Park,0,241339,661963
JOHNSTONE (STRATHCLYDE),JOHNSTN,JHN,100158,Johnstone,0,243312,662944
HAWKHEAD,HWKHEAD,HKH,100159,Hawkhead,0,249849,663589
SINGER,SINGER,SIN,100160,Singer,0,249710,670887
KILPATRICK,KLPTRCK,KPT,100161,Kilpatrick,0,246831,672838
DUMBARTON EAST,DMBRTNE,DBE,100162,Dumbarton East,0,240581,675114
DALMUIR,DALMUIR,DMR,100163,Dalmuir,0,248370,671447
CLYDEBANK,CLYBANK,CYK,100164,Clydebank,0,249775,670116
BOWLING,BOWLING,BWG,100165,Bowling,0,244302,673695
BISHOPTON,BISHPTN,BPT,100166,Bishopton,0,243748,670521
WILLIAMWOOD,WMWD,WLM,100168,Williamwood,0,256530,658005
WHITECRAIGS,WTCR,WCR,100169,Whitecraigs,0,255205,657630
THORNTONHALL,THAL,THT,100170,Thorntonhall,0,258916,655050
THORNLIEBANK,THLB,THB,100171,Thornliebank,0,255247,659926
PATTERTON,PATERTN,PTT,100172,Patterton,0,253710,657732
MUIREND,MUIREND,MUI,100173,Muirend,0,257599,659769
GIFFNOCK,GIFNOCK,GFN,100174,Giffnock,0,256373,659157
CLARKSTON,CLRKSTN,CKS,100175,Clarkston,0,257424,657461
BUSBY,BUSBY,BUS,100176,Busby,0,258222,656390
KELVINDALE,DAWSHLM,KVD,100177,Kelvindale,0,255612,669119
YOKER,YOKER,YOK,100178,Yoker,0,250807,669218
SUMMERSTON,SUMRSTN,SUM,100179,Summerston,0,256797,669676
SHAWLANDS,SHWLNDS,SHL,100180,Shawlands,0,256515,661921
SCOTSTOUNHILL,SCTSTNH,SCH,100181,Scotstounhill,0,252948,668256
QUEENS PARK (GLASGOW),QUNPARK,QPK,100182,Queens Park (Glasgow),0,258118,662562
PRIESTHILL & DARNLEY,PHLD,PTL,100183,Priesthill & Darnley,0,253280,660126
POSSILPARK & PARKHOUSE,POSILPK,PPK,100184,Possilpark & Parkhouse,0,258908,668632
POLLOKSHIELDS WEST,PLKLHDW,PLW,100185,Pollokshields West,0,257644,662849
POLLOKSHIELDS EAST,PLKLHDE,PLE,100186,Pollokshields East,0,258006,663160
POLLOKSHAWS WEST,PLKSHWW,PWW,100187,Pollokshaws West,0,255928,661364
POLLOKSHAWS EAST,PLKSHWE,PWE,100188,Pollokshaws East,0,256803,661447
PARTICK,PTCK,PTK,100189,Partick,0,255591,666494
NITSHILL,NITSH,NIT,100190,Nitshill,0,252179,660148
MOUNT FLORIDA,MTFL,MFL,100191,Mount Florida,0,258456,661592
MOSSPARK,MSSPARK,MPK,100192,Mosspark,0,253043,663337
MAXWELL PARK,MAXWLPK,MAX,100193,Maxwell Park,0,256754,662857
MARYHILL,MRYHILL,MYH,100194,Maryhill,0,256182,669530
LANGSIDE,LNSD,LGS,100195,Langside,0,257469,660985
KINGS PARK,KGPK,KGP,100196,Kings Park,0,259330,660762
KENNISHEAD,KENISHD,KNS,100197,Kennishead,0,254406,660234
JORDANHILL,JORDANH,JOR,100198,Jordanhill,0,254688,667944
HYNDLAND,HYNDLND,HYN,100199,Hyndland,0,255310,667602
HILLINGTON WEST,HLNGTNW,HLW,100200,Hillington West,0,251703,665058
HILLINGTON EAST,HLNGTNE,HLE,100201,Hillington East,0,252679,664847
HIGH STREET (GLASGOW),GLGHST,HST,100202,High Street (Glasgow),0,259900,665174
GLASGOW QUEEN STREET,GLGQHL,GLQ,100203,Glasgow Queen Street,0,259205,665546
GLASGOW QS LOW LEVEL,GLGQLL,GLL,100203,Glasgow QS Low Level,0,259205,665546
GLASGOW CENTRAL,GLGC,GLC,100204,Glasgow Central,0,258772,665117
GLASGOW CENTRAL LOW LEVEL,GLGCLL,GCL,100204,Glasgow Central Low Level,0,258772,665117
GILSHOCHILL,LAMBH,GSC,100205,Gilshochill,0,257398,669472
GARSCADDEN,GSCD,GRS,100206,Garscadden,0,252236,668562
EXHIBITION CENTRE (GLASGW),EXHIBTC,EXG,100207,Exhibition Centre,0,257185,665486
DUMBRECK,DUMBRCK,DUM,100208,Dumbreck,0,256024,663686
CROSSMYLOOF,CRSMYLF,CMY,100209,Crossmyloof,0,256960,662395
CROSSHILL,CROSSHL,COI,100210,Crosshill,0,258727,662339
CROOKSTON,CROKSTN,CKT,100211,Crookston,0,251987,663531
CORKERHILL,CKHL,CKH,100212,Corkerhill,0,253933,662908
CHARING CROSS (GLASGOW),CHRNGXG,CHC,100213,Charing Cross (Glasgow),0,258035,665833
CATHCART,CCRT,CCT,100214,Cathcart,0,258451,660573
CARDONALD,CDNL,CDO,100215,Cardonald,0,253659,664633
ASHFIELD (GLASGOW),ASFIELD,ASF,100216,Ashfield,0,259495,668471
ARGYLE STREET (GLASGOW),ARGYLST,AGS,100217,Argyle Street,0,259523,664932
ANNIESLAND,ANSL,ANL,100218,Anniesland,0,254909,668758
ANDERSTON,ANDRSTN,AND,100219,Anderston,0,258001,665283
MILNGAVIE,MLGV,MLN,100221,Milngavie,0,255530,674468
HILLFOOT,HLFT,HLF,100222,Hillfoot,0,255134,672126
DRUMRY,DRUMRY,DMY,100223,Drumry,0,250956,670510
DRUMCHAPEL,DRMCHPL,DMC,100224,Drumchapel,0,252339,670490
BEARSDEN,BSDN,BRN,100225,Bearsden,0,254310,671772
NEW CUMNOCK,NWCMNCK,NCK,100226,New Cumnock,0,261763,614206
HAIRMYRES,HARMYRS,HMY,100227,Hairmyres,0,260789,654297
EAST KILBRIDE,EKILBRD,EKL,100228,East Kilbride,0,263264,654670
BLANTYRE,BLANTYR,BLT,100229,Blantyre,0,269296,657948
UDDINGSTON,UDNGSTN,UDD,100230,Uddingston,0,269386,660896
STEPPS,STEPPS,SPS,100231,Stepps,0,266194,668402
SPRINGBURN,SPRNGBN,SPR,100232,Springburn,0,260614,667639
SHETTLESTON,SHTLSTN,SLS,100233,Shettleston,0,264880,664384
RUTHERGLEN,RTHGLEN,RUT,100234,Rutherglen,0,261558,661869
NEWTON (STRATHCLYDE),NWTL,NTN,100235,Newton (Lanarkshire),0,266445,660474
MOUNT VERNON,MNTVRNN,MTV,100236,Mount Vernon,0,266520,662853
KIRKHILL,KRKH,KKH,100237,Kirkhill,0,264238,660007
GARROWHILL,GARROWH,GAR,100238,Garrowhill,0,266820,664517
EASTERHOUSE,ESHS,EST,100239,Easterhouse,0,268275,664970
DUKE STREET (GLASGOW),DUKEST,DST,100240,Duke Street,0,261623,665062
DALMARNOCK,DLMRNOK,DAK,100241,Dalmarnock,0,261242,663248
CROFTFOOT,CFFT,CFF,100242,Croftfoot,0,260472,660584
CARNTYNE,CNTY,CAY,100243,Carntyne,0,263682,664559
CARMYLE,CARMYLE,CML,100244,Carmyle,0,264928,662221
CAMBUSLANG,CMBSLNG,CBL,100245,Cambuslang,0,263900,660636
BURNSIDE (STRATHCLYDE),BRSDE,BUI,100246,Burnside,0,262054,660382
BRIDGETON,BRIDGTN,BDG,100247,Bridgeton,0,260728,663999
BELLGROVE,BLGRVE,BLG,100248,Bellgrove,0,260859,664853
BARNHILL,BNHL,BNL,100249,Barnhill,0,260978,667233
BAILLIESTON,BALISTN,BIO,100250,Baillieston,0,267738,663274
ALEXANDRA PARADE,ALXPD,AXP,100251,Alexandra Parade,0,261748,665614
LENZIE,LENZIE,LNZ,100252,Lenzie,0,265480,671896
BISHOPBRIGGS,BSHB,BBG,100253,Bishopbriggs,0,261009,670100
SANQUHAR,SANQHAR,SQH,100254,Sanquhar,0,278077,610317
KIRKCONNEL,KRKC,KRK,100255,Kirkconnel,0,273428,612224
CHATELHERAULT,CHTLRT,CTE,100256,Chatelherault,0,274316,654267
LARKHALL,LARKHAL,LRH,100257,Larkhall,0,276077,651276
MERRYTON,MRRYTON,MEY,100258,Merryton,0,275972,652420
SHIELDMUIR,SHILDMR,SDM,100260,Shieldmuir,0,277349,655487
MOTHERWELL,MOTHRWL,MTH,100261,Motherwell,0,274968,657293
HOLYTOWN,HOLYTWN,HLY,100262,Holytown,0,276419,659467
HAMILTON WEST,HAMLTNW,HNW,100263,Hamilton West,0,271200,655890
HAMILTON CENTRAL,HAMLTNC,HNC,100264,Hamilton Central,0,272169,655188
CARFIN,CARFIN,CRF,100265,Carfin,0,277502,658889
AIRBLES,AIRBLES,AIR,100266,Airbles,0,275004,656114
GARTCOSH,GRTCSH,GRH,100267,Gartcosh,0,270078,667769
WHIFFLET,WHIFLET,WFF,100268,Whifflet,0,273751,664128
KIRKWOOD,KRKWOOD,KWD,100269,Kirkwood,0,271840,664232
DRUMGELLOCH,DRMGLCH,DRU,100270,Drumgelloch,0,277715,665369
COATDYKE,COATDYK,COA,100271,Coatdyke,0,274652,665270
COATBRIDGE SUNNYSIDE,COATBDS,CBS,100272,Coatbridge Sunnyside,0,273216,665605
COATBRIDGE CENTRAL,COATBDC,CBC,100273,Coatbridge Central,0,272899,665200
BLAIRHILL,BLAIRHL,BAI,100274,Blairhill,0,272265,665591
BELLSHILL,BLSHL,BLH,100275,Bellshill,0,273245,660056
BARGEDDIE,BRGDDIE,BGI,100276,Bargeddie,0,270291,663964
AIRDRIE,AIRDRIE,ADR,100277,Airdrie,0,276044,665216
GREENFAULDS,GRNFLDS,GRL,100278,Greenfaulds,0,275573,673128
CUMBERNAULD,CMBRNLD,CUB,100279,Cumbernauld,0,276375,673844
CROY,CROY,CRO,100280,Croy,0,272937,675472
BRIDGE OF ALLAN,BGOALAN,BEA,100281,Bridge of Allan,0,278524,697676
LANARK,LANARK,LNK,100282,Lanark,0,288573,643662
SHOTTS,SHTT,SHS,100283,Shotts,0,287352,659820
HARTWOOD,HRTW,HTW,100284,Hartwood,0,284834,659073
CLELAND,CLELAND,CEA,100285,Cleland,0,280372,658444
CARLUKE,CRLK,CLU,100286,Carluke,0,284040,650130
FALKIRK HIGH,FALKRKH,FKK,100287,Falkirk High,0,288299,679083
LARBERT,LARBERT,LBT,100288,Larbert,0,286051,682609
FALKIRK GRAHAMSTON,FALKRKG,FKG,100289,Falkirk Grahamston,0,288741,680268
FAULDHOUSE,FAULDHS,FLD,100292,Fauldhouse,0,292365,660133
BREICH,BREICH,BRC,100293,Breich,0,295647,660620
BATHGATE,BTHGATE,BHG,100294,Bathgate,0,297485,668615
ADDIEWELL,ADIEWEL,ADW,100295,Addiewell,0,299489,662294
WEST CALDER,WCALDER,WCL,100297,West Calder,0,301946,663370
LIVINGSTON SOUTH,LVNSTNS,LVG,100298,Livingston South,0,306145,665291
LIVINGSTON NORTH,LVNSTNN,LSN,100299,Livingston North,0,303535,668648
UPHALL,UPHALL,UHA,100300,Uphall,0,306220,670566
LINLITHGOW,LNLTHGW,LIN,100301,Linlithgow,0,300508,677080
DUNFERMLINE TOWN,DNFRMLE,DFE,100302,Dunfermline Town,0,309707,687108
WESTER HAILES,WHAILES,WTA,100303,Wester Hailes,0,319805,669757
KIRKNEWTON,KRKNWTN,KKN,100304,Kirknewton,0,310479,667144
CURRIEHILL,CURRIEH,CUH,100305,Curriehill,0,317616,668251
SOUTH GYLE,STHGYLE,SGL,100306,South Gyle,0,318895,672272
EDINBURGH PARK,EDINPRK,EDP,100307,Edinburgh Park,0,318362,671283
DALMENY,DLMY,DAM,100308,Dalmeny,0,313908,677898
ROSYTH,ROSYTH,ROS,100309,Rosyth,0,311249,684528
NORTH QUEENSFERRY,NQNSFRY,NQU,100310,North Queensferry,0,313115,680889
DUNFERMLINE QUEEN MARGARET,DNFRMQM,DFL,100312,Dunfermline Queen Margaret,0,312771,688818
DALGETY BAY,DALGETY,DAG,100313,Dalgety Bay,0,314312,684114
ABERDOUR,ABDO,AUR,100314,Aberdour,0,319127,685446
LOCHGELLY,LCHGLLY,LCG,100315,Lochgelly,0,318536,694389
COWDENBEATH,CWDNBTH,COW,100316,Cowdenbeath,0,316564,691808
KINGSKNOWE,KNGW,KGE,100318,Kingsknowe,0,321106,670274
EDINBURGH,EDINBUR,EDB,100320,Edinburgh,0,325783,673840
KINGHORN,KGHN,KGH,100321,Kinghorn,0,326986,686879
BURNTISLAND,BISLND,BTS,100322,Burntisland,0,323288,685628
KIRKCALDY,KCLD,KDY,100323,Kirkcaldy,0,327517,691613
CARDENDEN,CDND,CDD,100325,Cardenden,0,321691,694962
WALLYFORD,WALLYFD,WAF,100326,Wallyford,0,336603,672338
PRESTONPANS,PPAN,PST,100327,Prestonpans,0,339292,673773
MUSSELBURGH,MSELBGH,MUB,100329,Musselburgh,0,333059,671701
LONGNIDDRY,LNGNDRY,LND,100331,Longniddry,0,344630,676270
DREM,DREMJ,DRM,100332,Drem,0,351089,679401
NORTH BERWICK,NBERWCK,NBW,100333,North Berwick,0,354620,685151
STRANRAER,STRNRR,STR,100335,Stranraer,0,206223,561344
GIRVAN,GIRVAN,GIR,100336,Girvan,0,219040,598386
BARRHILL,BRRHL,BRL,100337,Barrhill,0,222580,581643
DUMFRIES,DUMFRES,DMF,100338,Dumfries,0,297656,576519
ANNAN,ANNAN,ANN,100339,Annan,0,319277,566166
LOCKERBIE,LCKRBIE,LOC,100340,Lockerbie,0,313771,581716
DUNBAR,DUNBAR,DUN,100342,Dunbar,0,368079,678464
NEWCRAIGHALL,NCRAGHA,NEW,100344,Newcraighall,0,331948,671655
BRUNSTANE,BRUSTAN,BSU,100347,Brunstane,0,331326,672718
HAYMARKET,HAYMRKT,HYM,100348,Haymarket,0,323982,673144
SLATEFORD,SLATEFD,SLA,100352,Slateford,0,322412,671118
CARSTAIRS,CRSTRS,CRS,100359,Carstairs,0,295276,645431
GRETNA GREEN,GRETGRN,GEA,100362,Gretna Green,0,331719,567846
AUCHINLECK,ACHILCK,AUK,100363,Auchinleck,0,254956,621957
BARASSIE,BARASIE,BSS,100365,Barassie,0,232897,632865
KILMARNOCK,KILMRNK,KMK,100366,Kilmarnock,0,242676,638279
ARDROSSAN SOUTH BEACH,ARDRSSB,ASB,100369,Ardrossan South Beach,0,223867,642162
BOGSTON,BOGSTON,BGS,100370,Bogston,0,230651,674903
INVERKEITHING,IVRKTHG,INK,100371,Inverkeithing,0,313149,683320
GLENROTHES WITH THORNTON,GLNRTHS,GLT,100374,Glenrothes With Thornton,0,328888,697193
LADYBANK,LADYBNK,LDY,100377,Ladybank,0,330648,709633
PERTH,PERTH,PTH,100378,Perth,0,311292,722913
STIRLING,STIRLNG,STG,100383,Stirling,0,279801,693596
DINGWALL,DINGWAL,DIN,100384,Dingwall,0,255318,858586
FORT WILLIAM,FRTWLM,FTW,100385,Fort William,0,210556,774184
CRIANLARICH,CRNLRCH,CNR,100386,Crianlarich,0,238460,725100
CRAIGENDORAN,CRGDRN,CGD,100387,Craigendoran,0,231013,681255
DALREOCH,DLREOCH,DLR,100388,Dalreoch,0,239141,675704
POLMONT,POLMONT,PMT,100389,Polmont,0,293067,678184
CAMELON,CAMELON,CMO,100390,Camelon,0,286763,680738
WESTERTON,WESTRTN,WES,100395,Westerton,0,254103,670441
WISHAW,WISHAW,WSH,100422,Wishaw,0,279221,654917
INVERNESS,IVRNESS,INV,100447,Inverness,0,266777,845463
KILWINNING,KILWNNG,KWN,100448,Kilwinning,0,229627,643702
ALLOA,ALLOA,ALO,100500,Alloa,0,288520.5313,693086.1875
CALDERCRUIX,CLDRCRX,CAC,100600,Caldercruix,0,281676,667774
ARMADALE (WEST LOTHIAN),ARMDALE,ARM,100601,Armadale,0,294101,667176
BLACKRIDGE,BLKRDGE,BKR,100602,Blackridge,0,289727.7813,666771.875
CONON BRIDGE,CONONBR,CBD,100700,Conon Bridge,0,254104,855026
SHAWFAIR,SHWFAIR,SFI,100750,Shawfair,5,332397,670669
ESKBANK,ESKBANK,EKB,100751,Eskbank,4,332359,666400
NEWTONGRANGE,NWTGRNG,NEG,100752,Newtongrange,4,333207,663707
GOREBRIDGE,GOREBRG,GBG,100753,Gorebridge,4,334573,661323
STOW,STOW,SOI,100754,Stow,2,345563,644697
GALASHIELS,GALASLS,GAL,100755,Galashiels,2,349444,636118
TWEEDBANK,TWDBANK,TWB,100756,Tweedbank,2,352423,634893
CARLISLE,CARLILE,CAR,100757,Carlisle Citadel,0,340221,555454
BERWICK-UPON-TWEED,BRWCKUT,BWK,100758,Berwick-upon-Tweed,0,399395,653420
EDINBURGH GATEWAY,EDINGWY,EGY,100800,Edinburgh Gateway,5,317478.8425,672857.0827
LAURENCEKIRK,LRNCKRK,LAU,101000,Laurencekirk Station,0,371701.8438,771799.0625
ROBROYSTON,RBRYSTN,RRN,100999,Robroyston,0,264236,668173
