SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MIDDLESBROUGH (DRS),MDLSBDR,0,MCA,449541,520706,999999
MIDDLESBROUGH (FHH),MDLSFHH,0,MCA,448977,520935,999999
MIDDLESBROUGH AYRTON DRS,MDLSDRS,0,MCA,448966,521310,999999
MIDDLESBROUGH DAWSON,MDLSDS,0,MCA,448966,521310,999999
MIDDLESBROUGH MARSH BRANCH,MDLSMRB,0,MCA,448808,520877,999999
MIDDLESBROUGH SIDINGS,MDLSSDG,0,MCA,448993,521056,999999
MIDDLESBROUGH SIGNAL 221,MDLS221,0,MCA,449239,520723,999999
MIDDLESBROUGH WEST DOCK,MDLSWDK,0,MCA,449187,520715,999999
MIDDLETON LIGHT RAILWAY,HNSLMID,0,MCA,430969,431137,999999
MIDDLETON TOWERS,MDTT,0,MCA,567312,317858,999999
MIDDLETON TOWERS GBRF,MDTTGBR,0,MCA,566894,317991,999999
MIDDLEWICH,MDLW,0,MCA,370689,366415,999999
MIDDLEWICH BRITISH SALT,MDLWCBS,0,MCA,371753,364507,999999
MIDDLEWOOD,MDWD,MDL,MSN,394534,384806,999999
MIDGHAM,MIDGHAM,MDG,MSN,457251,166659,999999
MILE END,MEND,0,MCA,535847,182681,999999
MILES PLATTING,MILESPL,0ML,MCA,385995,399976,999999
MILES PLATTING JN,MILESPJ,0,MCA,385995,399976,999999
MILFORD (SURREY),MLFORD,MLF,MSN,495422,141378,999999
MILFORD AND BROCTON,MFDB,0,MCA,397576,321421,999999
MILFORD C & W SIDINGS,MILFCW,0,MCA,450313,430745,999999
MILFORD DOWN SIDINGS,MILFCDS,0,MCA,450318,430846,999999
MILFORD HAVEN,MLFDHVN,MFH,MSN,189997,206262,999999
MILFORD HAVEN MHDC,MLFDOCK,0,MCA,190058,206070,999999
MILFORD JN.,MILFDY,0,MCA,450220,430099,999999
MILFORD LOOP,MILFLOP,0,MCA,450438,431329,999999
MILFORD SIGNAL M5233,MILF233,0,MCA,450128,429680,999999
MILFORD SIGNAL M5235,MILF235,0,MCA,450132,429632,999999
MILFORD WEST SIDINGS,MILFDWS,0,MCA,451194,431004,999999
MILL HILL (LANCS),MLHL,MLH,MSN,366991,426664,999999
MILL HILL BROADWAY,MLHB,MIL,MSN,521341,191895,999999
MILL LANE JN,MLLNJN,0,MCA,407259,423387,999999
MILL RACE JN,MILLRJ,0,MCA,437274,389084,999999
MILLBROOK,BEDFMIL,0,MCA,502001,240410,999999
MILLBROOK (BEDS),MLBRKB,MLB,MSN,500715,240540,999999
MILLBROOK (HANTS),MBRK,MBK,MSN,439918,112588,999999
MILLBROOK DOCK ENTRANCE,MBRKDE,0,MCA,439499,112640,999999
MILLBROOK DOCK EXIT,MBRKDX,0,MCA,439497,112637,999999
MILLBROOK HANTS..F.L.T.,MBRKFLT,0,MCA,439251,112688,999999
MILLBROOK SIG E942,MBRK942,0,MCA,438911,112628,999999
MILLBROOK SIG E958,MBRK958,0,MCA,439499,112640,999999
MILLBROOK SIG. E758,MBRK758,0,MCA,439068,112631,999999
MILLBROOK SIG. E850,MBRK850,0,MCA,439918,112588,999999
MILLBURN JN,MILBRNJ,0,MCA,267571,845731,888888
MILLERHILL C.E.,MLRHCE,0,MCA,332584,670557,888888
MILLERHILL EAST JN,MLRHEJN,0,MCA,332927,670047,888888
MILLERHILL L.I.P.,MLRHD,0,MCA,332309,670945,888888
MILLERHILL M.& E.E.,MLRHMEE,0,MCA,332620,670567,888888
MILLERHILL ROYAL SCOTSMAN,MLRHRSM,0,MCA,332267,670986,888888
MILLERHILL S.B.,MLRHSB,0,MCA,332193,671110,888888
MILLERHILL S.S.,MLRHY,0,MCA,332193,671110,888888
MILLERHILL SIGNAL 23,MLRHS23,0,MCA,332193,671110,888888
