SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
"""HARTLEPOOL BSC 20"""" MILL""",HRTL20,0,MCA,450623,528882,999999
"""ROUNDWOOD B.S.C. 11"""" MILL""",ALDWRML,0,MCA,445099,395951,999999
ABBEY STREET JUNCTION,LNDNASJ,0,MCA,534027,179304,999999
ABBEY WOOD (LONDON),ABWD,ABW,MSN,547255,179028,999999
ABBEYHILL JN,ABHLJN,0,MCA,326853,674149,888888
ABBEYHILL TURNBACK SDGS,ABHLTB,0,MCA,326853,674149,888888
ABBOTS RIPTON,CNNGABR,0,MCA,522641,277644,999999
ABBOTSWOOD JN,ABTSWDJ,0,MCA,388937,249903,999999
ABER,ABER,ABE,MSN,314871,186941,999999
ABER GROUND FRAME,LANFABR,0,MCA,265469,373384,999999
ABERAIDEN SOUTH,MLPTABS,0,MCA,284278,183594,999999
ABERBEEG,ABRBEG,0,MCA,320980,201995,999999
ABERCYNON,ABRCYNS,ACY,MSN,308114,194672,999999
ABERCYNON JUNCTION,ABRCJN,0,MCA,308283,194876,999999
ABERCYNON SIGNAL A187,ABRC187,0,MCA,308283,194876,999999
ABERDEEN,ABRDEEN,ABD,MSN,394210,805692,100048
ABERDEEN CLAYHILLS CAR.M.D,ABRDCH,0XA,MCA,394149,805585,888888
ABERDEEN CRAIGINCH LAFARGE,CRGICBC,0,MCA,395026,804204,888888
ABERDEEN CRAIGINCHES (DRS),CRGIDRS,0,MCA,394141,805648,888888
ABERDEEN CRAIGINCHES FHH,CRGIFHH,0,MCA,395025,804204,888888
ABERDEEN CRAIGINCHES T.C.,CRGICHY,0,MCA,394584,804177,888888
ABERDEEN FERRYHILL DN SDGS,ABRDFDS,0,MCA,394130,804651,888888
ABERDEEN FERRYHILL G.L.,ABRDFGL,0,MCA,394181,805683,888888
ABERDEEN FERRYHILL JN,ABRDFJN,0,MCA,394191,804935,888888
ABERDEEN FERRYHILL UP SDGS,ABRDFUS,0,MCA,394223,805239,888888
ABERDEEN GUILD STREET GBRF,ABRDGBR,0,MCA,394294,805782,888888
ABERDEEN H.S.,ABRDNHS,0,MCA,394246,805778,888888
ABERDEEN NORTH SIDING,ABRDNS,0,MCA,393854,806239,888888
ABERDEEN PARCELS DOCK,ABRDPDK,0,MCA,394229,805775,888888
ABERDEEN RUSSELL J.G.,ABRDRSL,0,MCA,394393,805843,888888
ABERDEEN SIG A27,ABRD27,0,MCA,394210,805692,888888
ABERDEEN SIG A75,ABRD75,0,MCA,394212,805332,888888
ABERDEEN SIG A77,ABRD77,0,MCA,394215,805332,888888
ABERDEEN WATERLOO,ABRDWAT,0,MCA,394823,806430,888888
ABERDEEN WATERLOO (GBRF),ABRDWGB,0,MCA,394823,806430,888888
ABERDOVEY,ABDVY,AVY,MSN,260671,296032,999999
ABERERCH,ABRE,ABH,MSN,240341,336075,999999
ABERGAVENNY,ABRGVNY,AGV,MSN,330546,213636,999999
ABERGAVENNY SIG 38,ABRGS38,0,MCA,330545,213642,999999
ABERGAVENNY UP SIDINGS,ABRGUS,0,MCA,330544,213556,999999
ABERGELE & PENSARN,ABGLELE,AGL,MSN,294645,378720,999999
ABERPERGWM,ABRPGWM,0,MCA,285813,204610,999999
ABERTHAW,ABTH,0,MCA,303517,166506,999999
ABERTHAW AW222,ABTH222,0,MCA,296194,169449,999999
ABERTHAW AW231,ABTH231,0,MCA,294085,173048,999999
ABERTHAW CEMENT WKS LAFARG,ABTHLAF,0,MCA,303343,167087,999999
ABERTHAW CEMENT WORKS,ABTHWCC,0,MCA,303343,167084,999999
ABERTHAW N.P.OIL SDG,ABTHOSD,0,MCA,302901,166062,999999
ABERTHAW POWER STATION EWS,ABTHPS,0,MCA,302901,166062,999999
ABERTHAW PWR STN FLINE HVY,ABTHPST,0,MCA,302905,166059,999999
ABERTHAW REC SDGS,ABTHRCP,0,MCA,303364,166730,999999
ABERTHAW SIG CF3433,ABTH433,0,MCA,296194,169449,999999
ABERTHAW SIG CF3440,ABTH440,0,MCA,294085,173048,999999
ABERTHAW SIGNAL A13,ABTHA13,0,MCA,302901,166062,999999
ABERTHAW SIGNAL A39,ABTHA39,0,MCA,303326,167125,999999
ABERYSTWYTH,ABRYSTH,AYW,MSN,258544,281552,999999
ABERYSTWYTH RUN ROUND LOOP,ABRYRRL,0,MCA,258635,281445,999999
ABERYSTWYTH SHELL SDGS,ABRYSHE,0,MCA,258852,281198,999999
ABINGTON,ABINGTN,0,MCA,293596,623445,888888
ABINGTON C.E.,ABINCE,0,MCA,293582,623456,888888
ABINGTON D.P.L.,ABINDPL,0,MCA,293683,623690,888888
ABINGTON DOWN SIDING,ABINDS,0,MCA,293585,623453,888888
ABINGTON U.P.L.,ABINUPL,0,MCA,293695,623686,888888
ABRONHILL TUNNEL,CMBRABT,0,MCA,277646,675714,888888
ACCRINGTON,ACRNGTN,ACR,MSN,375704,428560,999999
ACHANALT,ACHANLT,AAT,MSN,226034,861472,100022
ACHEILDH,ACHLDH,0,MCA,266436,903956,888888
ACHNASHEEN,ACHNSHN,ACN,MSN,216431,858544,100021
ACHNASHEEN C.E.,ACHNSCE,0,MCA,216516,858615,888888
ACHNASHELLACH,ACHHSHL,ACH,MSN,200295,848444,100020
ACHTERNEED,ACTRNED,0,MCA,248997,859791,888888
ACKLINGTON,ACKLNGT,ACK,MSN,422206,601499,999999
ACLE,ACLE,ACL,MSN,639912,309999,999999
ACOCKS GREEN,ACOCKSG,ACG,MSN,412407,283505,999999
ACTON BRIDGE (CHESHIRE),ACBG,ACB,MSN,359909,374522,999999
ACTON CANAL WHARF,ACTCWHF,0,MCA,521174,182633,999999
ACTON CENTRAL,ACTNCTL,ACC,MSN,520650,180268,999999
ACTON FOSTER YEOMAN,ACTONFY,0,MCA,520284,181204,999999
ACTON GRANGE JN,ACGJN,0,MCA,358747,385482,999999
ACTON LANE REC SDGS GBRF,ACTNLRG,0,MCA,521375,183060,999999
ACTON LANE RECEPTION SDGS,ACTNLRS,0,MCA,521376,183058,999999
ACTON LOCO HOLDING SIDINGS,ACTOLHS,0,MCA,520284,181204,999999
ACTON MAIN LINE,ACTONML,AML,MSN,520284,181204,999999
ACTON T.C.,ACTONTC,0XA,MCA,519791,181127,999999
ACTON WELLS JN,ACWLJN,0,MCA,521170,181868,999999
ACTON WELLS JN SIG AW149,ACWL149,0,MCA,521170,181868,999999
ACTON WELLS JN SIG AW150,ACWL150,0,MCA,521170,181868,999999
ACTON WELLS SIGNAL AW105,ACWL105,0,MCA,520286,179411,999999
ACTON YARD EWS,ACTOEWS,0,MCA,520284,181204,999999
ACTON YARD GBRF,ACTOGBR,0,MCA,519809,181132,999999
ADDERLEY PARK,ADERLYP,ADD,MSN,409921,287248,999999
ADDIEWELL,ADIEWEL,ADW,MSN,299504,662301,100295
ADDLESTONE,ADLESTN,ASN,MSN,505539,164911,999999
ADDLESTONE JN,ADLESTJ,0,MCA,506422,163627,999999
ADISHAM,ADISHAM,ADM,MSN,623355,154002,999999
ADLINGTON (CHESHIRE),ADLC,ADC,MSN,391196,380336,999999
ADLINGTON (LANCS),ADNL,ADL,MSN,360233,413093,999999
ADSWOOD ROAD JN,ADSWDRD,0,MCA,388377,387797,999999
ADWICK,ADWICK,AWK,MSN,454405,408689,999999
ADWICK JN,ADWICKJ,0,MCA,453256,409525,999999
AFON WEN LC,ABRYAFO,0,MCA,245017,337231,999999
AGECROFT JN,AGCRFTJ,0,MCA,380568,400742,999999
AGECROFT NORTH JN,BRNDANJ,0,MCA,380428,401155,999999
AGECROFT SOUTH JN,BRNDASJ,0,MCA,380765,400305,999999
AIGBURTH,AIGBURT,AIG,MSN,338441,385688,999999
AINSDALE,AINSDAL,ANS,MSN,331088,412181,999999
AINTREE,AINTREE,AIN,MSN,336623,397890,999999
AINTREE SEFTON JN.,AINTSFJ,0,MCA,336623,397890,999999
AINTREE SIGNAL 1206,AINT206,0,MCA,336623,397890,999999
AIRBLES,AIRBLES,AIR,MSN,275028,656171,100266
AIRDRIE,AIRDRIE,ADR,MSN,276075,665211,100277
AIRDRIE C.S.,AIRDCS,0,MCA,276059,665194,888888
AIRDRIE SIGNAL YS754,AIRD754,0,MCA,275764,665184,888888
AIS GILL,AISGILL,0,MCA,378005,496177,999999
AISH EMERGENCY CROSSOVER,AISHXO,0,MCA,268976,59764,999999
ALBANY PARK,ALBNYPK,AYP,MSN,547861,172849,999999
ALBION G.F.,ALBION,0,MCA,398439,290900,999999
ALBRIGHTON,ALBRGHT,ALB,MSN,381860,304542,999999
ALCAN BRANCH JN.,LYNMABJ,0,MCA,430433,589137,999999
ALCONBURY,CNNGALC,0,MCA,518489,275502,999999
ALDERLEY EDGE,ALDEDGE,ALD,MSN,384333,378586,999999
ALDERMASTON,ALDMSTN,AMT,MSN,460166,167378,999999
ALDERMASTON PADWORTH SDGS,ALDMSPS,0,MCA,460617,167472,999999
ALDERMASTON TIP ISU (CE),ALDMCE,0,MCA,460632,167433,999999
ALDERSBROOK SIGNAL 337/354,ALDB337,0,MCA,543071,186255,999999
ALDERSBROOK UP C.H.S.,ALDBUCS,0XA,MCA,543071,186255,999999
ALDERSHOT,ALDRSHT,AHT,MSN,486667,150415,999999
ALDERSHOT NORTH JN,ALDRSJN,0,MCA,488516,151976,999999
ALDERSHOT SIGNAL WK1371,ALDR371,0,MCA,486950,150559,999999
ALDERSHOT SIGNAL WK1378,ALDR378,0,MCA,486350,150077,999999
ALDERSHOT SOUTH JN,ALDRSJS,0,MCA,489141,151844,999999
ALDGATE EAST LUL,ALDGEST,ZAE,MSN,533620,181244,999999
ALDRIDGE SIG WL42,STNPALD,0,MCA,405405,300475,999999
ALDRINGTON,ALDTON,AGT,MSN,528144,105665,999999
ALDWARKE JN,ALDWRKJ,0,MCA,445162,396014,999999
ALDWARKE JN SIG S738,ALDW738,0,MCA,444322,394901,999999
ALDWARKE REPAIR SIDINGS,ALDWRS,0,MCA,445324,396279,999999
ALDWARKE U.E.S.,ALDWNWS,0,MCA,445180,396109,999999
ALDWARKE UES GBRF,ALDWGBF,0,MCA,445099,395951,999999
ALEXANDRA DOC JN SIG N440,ALXN440,0,MCA,330299,186029,999999
ALEXANDRA DOCK JN. T.C.,ALXNJTC,0,MCA,330232,186664,999999
ALEXANDRA DOCKS UDG,ALXNUDG,0,MCA,330232,186664,999999
ALEXANDRA PALACE,ALEXNDP,AAP,MSN,530281,190469,999999
ALEXANDRA PALACE SAND SDG,ALEXPSS,0,MCA,530281,190469,999999
ALEXANDRA PARADE,ALXPD,AXP,MSN,261749,665554,100251
ALEXANDRIA,ALXANDR,ALX,MSN,239310,679928,100145
ALFRETON,ALFRETN,ALF,MSN,442291,356159,999999
ALLANFERN L.C.,IVRNALC,0,MCA,271463,847564,888888
ALLANTON LOOP,MRRYTNL,0,MCA,274749,654428,888888
ALLBROOK,ELGHABK,0XE,MCA,445966,120526,999999
ALLEN ROWLAND WORKS,TYSLRWS,0,MCA,410747,284073,999999
ALLENS WEST,ALLENSW,ALW,MSN,441378,514537,999999
ALLERTON DEPOT,ALERTNS,0XA,MCA,341407,384899,999999
ALLERTON JN,ALERTNJ,0,MCA,340971,384932,999999
ALLERTON SIGNAL AN4,ALERTN4,0,MCA,340573,385335,999999
ALLINGTON A.R.C. REVERSE,ALLGREV,0,MCA,574624,157792,999999
ALLINGTON A.R.C. SDG.,ALLGARC,0,MCA,574624,157792,999999
ALLINGTON EAST JN,ALNGEJN,0,MCA,487645,338035,999999
ALLINGTON JN,ALNGJN,0,MCA,487279,338079,999999
ALLINGTON NORTH JN,ALNGNJN,0,MCA,487630,338186,999999
ALLOA,ALLOA,ALO,MSN,288305,693087,100500
ALLOA LOOP,ALLOALP,0,MCA,288545,693085,888888
ALLSCOTT GF,ALSCGF,0,MCA,361595,312589,999999
ALLSCOTT SDGS,ALSCTSW,0,MCA,361532,312579,999999
ALNESS,ALNESS,ASS,MSN,265998,869399,100031
ALNMOUTH,ALNMOTH,ALM,MSN,423107,611050,999999
ALNMOUTH UP ENG SIDINGS,ALNMUES,0,MCA,423222,610922,999999
ALRESFORD,ALRSFRD,0,MCA,606499,221516,999999
ALRESFORD (ESSEX),ALRESFD,ALR,MSN,606480,221514,999999
ALREWAS L.C.,ALRWAS,0,MCA,417736,314822,999999
ALSAGER,ALSAGER,ASG,MSN,380106,355134,999999
ALSAGER EAST JN,ALSAEJN,0,MCA,380106,355134,999999
ALSAGER UP & DN GDS LOOP,ALSAUDG,0,MCA,380525,355211,999999
ALSTONE C. SIDINGS,ALSTONS,0XC,MCA,393367,222518,999999
ALSTONE LEVEL CROSSING,CHLTALC,0,MCA,393417,222740,999999
ALTHORNE,ALTHORN,ALN,MSN,590505,197918,999999
ALTHORPE,ALTPE,ALP,MSN,483914,410618,999999
ALTHORPE PARK (LNG BUCKBY),LNGBAP,0,MCA,468006,266278,999999
ALTNABREAC,ALTNBRC,ABC,MSN,300360,945696,100008
ALTNABREAC C.E.,ALTNCCE,0,MCA,300220,945531,888888
ALTOFTS JN,ALTFTJN,0,MCA,438721,423871,999999
ALTON,ALTON,AON,MSN,472343,139686,999999
ALTRINCHAM,ALTRNHM,ALT,MSN,377014,387942,999999
ALVECHURCH,ALVCHRC,ALV,MSN,402284,272079,999999
ALVES JN,ALVES,0,MCA,312769,861774,888888
AMBERGATE,AMBERGT,AMB,MSN,434886,351573,999999
AMBERGATE JN,AMBERGJ,0XA,MCA,434688,350936,999999
AMBERLEY,AMLY,AMY,MSN,502631,111798,999999
AMERSHAM <LUL>,AMERSHM,AMR,MSN,496403,198167,999999
AMINGTON JN SIG NL1294,AMNG294,0,MCA,422442,304555,999999
AMINGTON JN SIG NL3487,AMNG487,0,MCA,422442,304555,999999
AMINGTON JN SIG NL3490,AMNG490,0,MCA,422442,304555,999999
AMINGTON JN SIG NL5485,AMNG485,0,MCA,422442,304555,999999
AMINGTON JN SIG NL5488,AMNG488,0,MCA,422442,304555,999999
AMINGTON JN SIG NL9459,AMNG459,0,MCA,422442,304555,999999
AMINGTON JN SIG NL9462,AMNG462,0,MCA,422442,304555,999999
AMLWCH,AMLWCH,0AM,MCA,244499,393620,999999
AMLWCH ASSOCTD OCTEL SDG,AMLWOCT,0,MCA,244499,393620,999999
AMMANFORD,AMMANFD,AMF,MSN,262391,212619,999999
AMPTHILL TUNNELS,AMPTNLS,0,MCA,502081,238281,999999
ANCASTER,ANCASTR,ANC,MSN,498405,344375,999999
ANDERSTON,ANDRSTN,AND,MSN,257973,665288,100219
ANDOVER,ANDOVER,ADV,MSN,435507,145926,999999
ANDOVER SHUNT SIG BE5202,ANDO202,0,MCA,435276,145770,999999
ANDOVER SIDINGS,ANDOKMR,0,MCA,435456,145921,999999
ANDOVER YARD,ANDOYD,0,MCA,435279,145772,999999
ANERLEY,ANERLEY,ANZ,MSN,534620,169930,999999
ANGEL ROAD,ANGELRD,AGR,MSN,535185,192244,999999
ANGERSTEIN JN,ANGRSTJ,0,MCA,540652,178101,999999
ANGERSTEIN WHARF,ANGRSTW,0,MCA,540317,178368,999999
ANGERSTEIN WHARF - MARCON,ANGRMAR,0,MCA,540443,178968,999999
ANGERSTEIN WHARF (BARDON),BRONLPT,0,MCA,540320,178794,999999
ANGERSTEIN WHARF (TARMAC),ANGRTAR,0,MCA,540368,178788,999999
ANGERSTEIN WHARF FLHH,ANGRFHH,0,MCA,540448,179101,999999
ANGERSTEIN WHARF GBRF,ANGRGBR,0,MCA,540318,178725,999999
ANGLESEA SIDING,BRWNASG,0,MCA,406235,306772,999999
ANGMERING,ANGMRNG,ANG,MSN,506562,102969,999999
ANLABY ROAD JN,HULLARJ,0,MCA,507810,428747,999999
ANNAN,ANNAN,ANN,MSN,319271,566169,100339
ANNAN DRS ISU,ANNADRS,0,MCA,319251,566157,888888
ANNAT,ANAT,0,MCA,208529,776791,888888
ANNBANK,ANNBANK,0,MCA,240362,624827,888888
ANNIESLAND,ANSL,ANL,MSN,254903,668738,100218
ANNIESLAND,ANSL3,ANL,MSN,254903,668738,
ANSDELL & FAIRHAVEN,ANSDELL,AFV,MSN,334584,427696,999999
APPERLEY JN,APERLYJ,0,MCA,420828,438094,999999
APPLEBY,APBY,APP,MSN,368652,520683,999999
APPLEBY LC,SCNTAPP,0,MCA,495232,412860,999999
APPLEBY NORTH EAST SDGS,APBYNE,0,MCA,368262,521094,999999
APPLEDORE (KENT),APDR,APD,MSN,597552,129716,999999
APPLEFORD FHH,APPLFHH,0,MCA,452415,192999,999999
APPLEFORD L.C.,APPLEFX,0,MCA,452520,193680,999999
APPLEFORD SDGS (GBRf),APPLEGB,0,MCA,452520,193680,999999
APPLEFORD SIDINGS,APPLEFS,0,MCA,452418,192996,999999
APPLEHURST JN,APLHRSJ,0,MCA,458819,409839,999999
APPLEY BRIDGE,APLYBDG,APB,MSN,352464,409360,999999
APPLEY BRIDGE WIMPEY,APLYBGW,0,MCA,352049,409533,999999
APSLEY,APSLEY,APS,MSN,506268,204832,999999
ARBROATH,ARBROTH,ARB,MSN,363905,741032,100098
ARBROATH CROSSOVER,ARBRCVR,0,MCA,363907,741269,888888
ARBROATH U.R.S.,ARBRURS,0,MCA,363889,741464,888888
ARDGAY,ARDGAY,ARD,MSN,260028,890449,100032
ARDGAY C.E.,ARDGAYC,0,MCA,260106,890267,888888
ARDINGLY,ARDNGLY,0,MCA,533664,127566,999999
ARDINGLY HANSON AGGREGATES,ARDNFHH,0,MCA,533669,127566,999999
ARDLEIGH,ARDEGH,0,MCA,605296,228939,999999
ARDLEY,BCSTARD,0,MCA,450883,229501,999999
ARDLUI,ARDLUI,AUI,MSN,231711,715475,100069
ARDLUI C.E.,ARDLUCE,0,MCA,231692,715579,888888
ARDROSSAN E.M.U. SDG,ARDRSDS,0XA,MCA,223568,642371,888888
ARDROSSAN HARBOUR,ARDRSHB,ADS,MSN,222524,642107,100111
ARDROSSAN SOUTH BEACH,ARDRSSB,ASB,MSN,223804,642207,100369
ARDROSSAN TOWN,ARDRSTN,ADN,MSN,223070,642057,100109
ARDWICK,ARDWICK,ADK,MSN,385973,397166,999999
ARDWICK EAST JN,ARDWKEJ,0,MCA,386232,397176,999999
ARDWICK EAST YARD,ARDWKEY,0,MCA,386480,397290,999999
ARDWICK JN,ARDWCKJ,0,MCA,386232,397176,999999
ARDWICK T.M.D,ARDWTMD,0XR,MCA,386161,397199,999999
ARGYLE STREET (GLASGOW),ARGYLST,AGS,MSN,259257,665001,100217
ARISAIG,ARISAIG,ARG,MSN,166378,786748,100049
ARISAIG C.E.,ARISCE,0,MCA,166531,786716,888888
ARKLESTON EAST,ARKLSTE,0,MCA,249929,665001,888888
ARKLESTON JN,ARKLSTJ,0,MCA,249929,665001,888888
ARKLESTON WEST,ARKLSTW,0,MCA,249929,665001,888888
ARKSEY D814,ARKS814,0,MCA,457525,406456,999999
ARKSEY LOOP,ARKSEYL,0,MCA,457398,405868,999999
ARKSEY SIGNAL D815,ARKS815,0,MCA,457641,407032,999999
ARLESEY,ARLSEY,ARL,MSN,519035,237760,999999
ARMADALE (WEST LOTHIAN),ARMDALE,ARM,MSN,294045,667121,100601
ARMATHWAITE,ARMTHWT,AWT,MSN,350479,546347,999999
ARMITAGE JN,ARMITAG,0,MCA,407990,316452,999999
ARMLEY JUNCTION,ARMLJCN,0,MCA,428175,433542,999999
ARNSIDE,ARNSIDE,ARN,MSN,346085,478843,999999
ARPLEY JN,ARPLEYJ,0,MCA,360405,387792,999999
ARPLEY SIDINGS,ARPLEYS,0,MCA,360361,387785,999999
ARPLEY SIDINGS H.S.,ARPLSHS,0,MCA,360361,387785,999999
ARRAM,ARRAM,ARR,MSN,503483,444318,999999
ARROCHAR & TARBET,ARCHRAT,ART,MSN,231172,704525,100068
ARROCHAR & TARBET C.E.,ARCHRCE,0,MCA,230989,704415,888888
ARROCHAR & TARBET URS AMEC,ARCHAME,0,MCA,230892,704358,888888
ARUNDEL,ARUNDEL,ARU,MSN,502410,106337,999999
ARUNDEL JN,ARUNDLJ,0XX,MCA,501204,104080,999999
ASCOT,ASCOT,ACT,MSN,492134,168290,999999
ASCOT DOWN SIDING,ASCODS,0,MCA,492325,168235,999999
ASCOT SIGNAL F501,ASCO501,0,MCA,492633,168120,999999
ASCOT SIGNAL F504,ASCO504,0,MCA,492633,168120,999999
ASCOT SIGNAL F506,ASCO506,0,MCA,492633,168120,999999
ASCOTT-UNDER-WYCHWOOD,ASCTUWD,AUW,MSN,430115,218852,999999
ASFORDBY COLLIERY,ASFRDBY,0,MCA,472222,319483,999999
ASH,ASHH,ASH,MSN,489932,150844,999999
ASH BRIDGE JUNCTION,ASBRDGE,0,MCA,388925,392072,999999
ASH SIGNAL GD 1331,ASHH331,0,MCA,490037,150781,999999
ASH VALE,ASHVALE,AHV,MSN,489296,153385,999999
ASH VALE SIGNAL WK408,ASHV408,0,MCA,489427,153637,999999
ASHBURYS,ASHBRYS,ABY,MSN,387122,397248,999999
ASHBURYS (EWS),ASHBEWS,0,MCA,387872,397168,999999
ASHBURYS EAST JN,ASHBREJ,0,MCA,387122,397248,999999
ASHBURYS LAFARGE (FLHH),ASHBFHH,0,MCA,387887,397164,999999
ASHBURYS S.B.,ASHBRSB,0,MCA,387122,397248,999999
ASHBURYS S.S.,ASHBRSY,0,MCA,387872,397168,999999
ASHBURYS W JN. (SIG AS998),ASHBRWJ,0,MCA,386938,397244,999999
ASHBY JUNCTION,NNTNASJ,0,MCA,435281,293404,999999
ASHCHURCH FOR TEWKESBURY,ASHCHRC,ASC,MSN,392629,233381,999999
ASHCHURCH MOD (ARMY),ASHCMOD,0,MCA,392820,233630,999999
ASHCHURCH SIGNAL G453,ASHC453,0,MCA,392629,233381,999999
ASHCHURCH WAR DEPT G.F.,ASHCWTF,0,MCA,392638,232931,999999
ASHCHURCH WAR DEPT. G.F.,ASHCWGF,0,MCA,392638,232931,999999
ASHENDON JN,HADMASH,0,MCA,469454,213239,999999
ASHFIELD (GLASGOW),ASFIELD,ASF,MSN,259472,668475,100216
ASHFORD (SURREY),ASFDMSX,AFS,MSN,506494,171920,999999
ASHFORD A JUNCTION,ASHFAJN,0,MCA,600169,142883,999999
ASHFORD CRANE DEPOT,ASHFCR,0,MCA,602012,141530,999999
ASHFORD DN YD CNTB END,ASHFKCY,0,MCA,601528,141971,999999
ASHFORD DOWN SIDINGS,ASHFDNS,0,MCA,601519,141979,999999
ASHFORD DOWN YARD,ASHFKDY,0,MCA,601528,141971,999999
ASHFORD DOWN YD WASHER RD,ASHFDYW,0,MCA,601519,141979,999999
ASHFORD EAST BERTHING SDGS,ASHFEBS,0,MCA,601524,141974,999999
ASHFORD EAST JUNCTION,ASHFEJN,0,MCA,601685,141812,999999
ASHFORD INTERNATIONAL,ASHFKY,AFK,MSN,600533,142521,999999
ASHFORD INTL (EUROSTAR),ASHFKI,ASI,MSN,600533,142521,999999
ASHFORD MAIDSTONE LOOP,ASHFKGR,0,MCA,600259,142738,999999
ASHFORD P.A.D.,ASHFKPD,0,MCA,602085,142280,999999
ASHFORD SIGNAL 661,ASHF661,0,MCA,600183,142588,999999
ASHFORD SIGNAL AD2119,ASHF119,0,MCA,600053,143208,999999
ASHFORD UP SIDINGS,ASHFUPS,0,MCA,601453,141865,999999
ASHFORD WEST JUNCTION,ASHFWJN,0,MCA,600446,142555,999999
ASHFORDBY L.C.,MLTNASH,0,MCA,471320,318134,999999
ASHINGTON JN,ASHGTNJ,0,MCA,427272,587791,999999
ASHLEY,ASHLEY,ASY,MSN,377374,384318,999999
ASHTEAD,ASHD,AHD,MSN,518025,158989,999999
ASHTON BY STONE,STONASH,0,MCA,391657,332716,999999
ASHTON GATE,ASHJGAT,0,MCA,356707,171380,999999
ASHTON IN M STOP BOARD,ASHIMSB,0,MCA,360067,399516,999999
ASHTON IN MAKERFIELD K.S.,ASHIMKS,0,MCA,360067,399516,999999
ASHTON JN SIGNAL B335,ASHJ335,0,MCA,356630,171551,999999
ASHTON JUNCTION,ASHJN,0,MCA,356685,171413,999999
ASHTON JUNCTION (CE),ASHJNCE,0,MCA,356707,171380,999999
ASHTON MOSS NORTH JN,ASHTMNJ,0,MCA,392644,399497,999999
ASHTON-UNDER-LYNE,ASHONUL,AHN,MSN,393889,399389,999999
ASHURST (KENT),ASHURST,AHS,MSN,550721,138773,999999
ASHURST JN,ASHUJN,0,MCA,552195,136743,999999
ASHURST NEW FOREST,LYNDHRD,ANF,MSN,433395,110111,999999
ASHWELL & MORDEN,ASHWELC,AWM,MSN,529750,238593,999999
ASHWELL L.C.,OAKHASH,0,MCA,486124,313806,999999
ASKAM,ASKAM,ASK,MSN,321495,477713,999999
ASLOCKTON,ASLCKTN,ALK,MSN,474126,339916,999999
ASPATRIA,ASPTRIA,ASP,MSN,314389,541258,999999
ASPLEY GUISE,ASPLEYG,APG,MSN,493954,236753,999999
ASTLEY,ASTLEY,0,MCA,370327,397204,999999
ASTLEY BRIDGE JN,ASLYBJN,0,MCA,372477,410313,999999
ASTON,ASTON,AST,MSN,408766,289645,999999
ASTON SOUTH JN,ASTOSTJ,0,MCA,408849,289488,999999
ATHELNEY CROSSING,ATHLNEY,0,MCA,334091,128658,999999
ATHERSTONE,ATHRSTN,ATH,MSN,430429,297952,999999
ATHERTON,ATHERTN,ATN,MSN,368422,403708,999999
ATTADALE,ATADALE,ATT,MSN,192463,839060,100018
ATTENBOROUGH,ATNBRO,ATB,MSN,451822,334619,999999
ATTENBOROUGH JN,ATNBROJ,0,MCA,450810,333583,999999
ATTERCLIFFE M&G,ATTRMGS,0,MCA,437504,389486,999999
ATTERCLIFFE SDGS EWS,ATTREWS,0,MCA,437506,389490,999999
ATTERCLIFFE SDGS FHH,ATTRFHH,0,MCA,437505,389488,999999
ATTLEBOROUGH,ATTLBON,ATL,MSN,605095,294931,999999
ATTLEBOROUGH JN,ATLBRJN,0,MCA,437667,290191,999999
ATTLEBOROUGH JN SIG RN3431,ATLB431,0,MCA,437667,290191,999999
ATTLEBOROUGH JN SIG RN9533,ATLB533,0,MCA,437667,290191,999999
ATTLEBOROUGH NORTH JN,ATLBRNJ,0,MCA,437667,290191,999999
AUCHENGRAY,ACHNGRY,0,MCA,299273,654716,888888
AUCHINLECK,ACHILCK,AUK,MSN,254986,621950,100363
AUCHTERARDER,AUCHTER,0,MCA,295401,712120,888888
AUCHTERARDER SB,AUCHTDR,0,MCA,295401,712120,888888
AUDLEY END,AUDLEYE,AUD,MSN,551595,236305,999999
AUGHTON PARK,AGHTNPH,AUG,MSN,340801,406792,999999
AULDGIRTH,AULDGTH,0,MCA,291578,586460,888888
AVIEMORE,AVIEMRE,AVM,MSN,289567,812343,100036
AVIEMORE (SPEYSIDE),AVIEMRS,0,MCA,289652,812667,888888
AVIEMORE DOWN REFUGE SDG,AVIEDRS,0,MCA,289640,812699,888888
AVIEMORE SIGNAL A29,AVIEA29,0,MCA,289567,812343,888888
AVIEMORE UP REFUGE SDG CE,AVIEURS,0,MCA,289574,812160,888888
AVIGNON C M T,AVIGCMT,0AV,MCA,260885,667397,888888
AVIGNON VILLE,AVIGVIL,0,MCA,260885,667397,888888
AVONCLIFF,AVNCLFF,AVF,MSN,380460,160088,999999
AVONMOUTH,AVONMTH,AVN,MSN,351574,178116,999999
AVONMOUTH BBHT COAL SILOS,AVONBHT,0,MCA,352074,180073,999999
AVONMOUTH BENNETS SIDING,AVONBEN,0,MCA,351838,180107,999999
AVONMOUTH CTR TERMAL EWS,AVONCT,0,MCA,351480,179834,999999
AVONMOUTH DOCK JN,AVONDKJ,0,MCA,351574,178116,999999
AVONMOUTH ENTERPRISE,AVONILS,0,MCA,351838,180107,999999
AVONMOUTH HANSONS SIDING,AVONHAN,0,MCA,351921,180220,999999
