ATCOCode,Node
090033221352,55511
090033221845,55520
090033222408,55511
090033152264,55487
090033152287,55497
090033152308,55487
090033311838,55487
090033312786,55487
090033391364,55520
090033402232,55520
090033421891,55492
090033422704,55494
090033441394,55496
090033441580,55497
090033152179,55487
090033152206,55487
090033441694,55496
090033441696,55511
090033191408,55511
090033191409,55520
090033191761,55511
090033191764,55511
090033191865,55511
090033191969,55511
090033102080,55496
090033102168,55495
090033102233,55494
090033271391,55492
090033280991,55520
090033281799,55520
090033292893,55520
090033301365,3984
090033301404,3992
090033302724,3986
090033302798,3986
090033311389,55487
090033311406,55487
090033031699,55520
090033031790,3984
090033501823,55520
090033012221,3983
090033222873,55511
090033232163,55494
090033232214,55494
090033242409,55520
090033101806,55495
090033101816,55495
090033101916,55494
090033102040,55496
090033102639,55495
090033102690,55495
090033102813,55495
090033102864,55495
090033121821,55495
090033132265,55518
090033141405,55511
090033442842,55496
090033322311,55494
090033322747,55494
090033331395,55492
090033331396,55492
090033361385,55497
090074132758,55497
090074132936,55497
090074291392,55497
090074291393,55497
090074292152,55497
090074292726,55497
090074381698,55497
090074291387,55497
090074012406,55518
090074591848,55497
090074592239,55497
090074591388,55497
090002223077,55478
090002223078,55478
090002593092,55474
090002223081,55478
090002223082,55478
090002223083,55478
090002223084,55478
090002223085,55478
090002263240,55487
090033193166,55520
090033193167,55520
090002223035,55478
090002223036,55478
090002223037,55478
090002593120,55471
090002593121,55471
090002493242,3649
090002513237,55487
090002513244,55487
090002513245,55487
090002493104,55475
090002563124,55487
090002563238,55487
090002563239,55487
090002223074,55478
090002223075,55478
090002143068,55477
090002433005,55475
090002443251,55475
090002023252,55475
090002023253,55487
090002223039,55478
090002223079,55478
090002223080,55478
090002223076,55478
090033063224,55518
090033063225,55518
090033103062,55494
090033103180,55495
090002263241,55487
090002433004,55475
090033193165,55520
090002593093,55474
090002223038,55478
090002143069,55477
090033323173,55494
090033323226,55494
090033363176,55496
090033443229,55497
090033443230,55497
090002553254,55487
090002553256,55487
090002463258,55475
090002313257,55475
090033313255,55487
090002123260,55475
090002013262,55487
090002463259,55475
090002073261,55475
090002133271,3780
090002583269,55487
090002393270,3780
090002133368,3780
090002333273,55487
090002132369,3780
090002133272,3885
090074013357,55518
090002483344,55487
090002453382,55477
090002453383,55477
090002453384,55477
090002553345,55487
090002553346,55487
090002553347,55487
090033103350,55496
090033103352,55497
090002103342,55487
090002363455,55487
090002073476,55475
090002013451,55487
090002103446,55487
090033153431,55497
090033173456,55520
090033173457,55520
090033223458,55511
090033223462,55511
090033283464,55520
090033373460,55496
090002223428,55478
090002223429,55478
090002223430,55478
090002223440,55478
090002483452,55487
090002553340,55487
090033073370,55487
090033103323,55495
090002363343,55487
090002553341,55487
090033193356,55518
090002133371,3796
090002243438,55478
090002363453,55487
090002183426,55475
090033443359,55496
090033133354,55518
090033153322,55495
090033173355,55518
090002563481,55487
090002563482,55487
090002563483,55487
090002563488,55487
090002563489,55487
090002563484,55487
090002563485,55487
090002563486,55487
090002563487,55487
090074293554,55497
090033151539,55495
090033442866,55497
090033443551,55497
090033443552,55497
090002403497,55476
090002403498,55476
090002293520,55476
090002293521,55476
090002293522,55476
090033223607,55488
090033293629,55520
090002473762,55470
090033313643,55487
090033313644,55487
090033393628,55520
090033253605,3981
090033253650,55494
090033313641,55495
090033313642,55495
090033103584,55494
090033103585,55494
090033103586,55495
090033103588,55495
090033103589,55495
090033103592,55495
090002293514,55476
090002293515,55476
090002293516,55476
090033413604,55520
090033413623,55520
090033443631,55496
090002293517,55476
090002293518,55476
090002293519,55476
090002293523,55476
090074293548,55497
090074293549,55497
090002433758,55470
090074293637,55497
090074293638,55497
090074293645,55497
090074293646,55497
090033013606,3983
090033023651,55494
090033063630,55520
090033083603,55520
090002483863,55487
090002483865,55487
090002483866,55487
090002593759,55471
090002293512,55476
090074013874,55497
090074013875,55497
090002283794,55475
090002463795,55475
090033174031,55518
090033063816,55518
090033063817,55518
090002223861,55477
090074293944,55497
090074293945,55497
090074294002,55497
090033104013,55495
090033104022,55495
090033373916,55494
090033061338,55518
090002393811,55487
090002393812,55487
090002463796,55475
090002483862,55487
090002013915,55487
090002103808,55487
090002103809,55487
090002223856,55477
090002223857,55477
090002223858,55477
090002223859,55477
090002223860,55477
090002143793,55477
090002153914,55477
090033104023,55495
090033104024,55495
090002513854,55487
090002513855,55487
090033373917,55494
090033104091,55494
090033104099,55495
090033104100,55495
090033104101,55495
090033104102,55495
090033104109,55497
090033104115,55495
090033104092,55494
090033104093,55495
090033104094,55495
090033104116,55495
090033104117,55495
090002094168,55475
090002104169,55487
090002104170,55487
090002494180,55475
090002434353,55475
090002454330,55477
090033124138,55495
090033074456,55487
090033074458,55487
090002594401,55471
090033324471,55494
090002564171,55487
090002594342,55473
090033104143,55496
090033104163,55497
090033104164,55497
090033104185,55495
090033104186,55495
090033104339,55494
090033104340,55494
090033154153,55487
090002254348,55475
090002254349,55475
090033174470,55518
090033324472,55494
090002334459,55487
090002334460,55487
090002184442,55475
090033374140,55496
090002254350,55475
090033234200,55494
090033364161,55497
090033364162,55497
090033014197,55466
090002394175,3779
090002434351,55475
090002574480,55474
090002564431,55487
090033104419,55495
090033404400,55497
090002164444,55477
090002254443,55475
090002434439,55475
090002434440,55475
090002134466,3796
090033124136,55495
090033124137,55495
090033104132,55494
090033104134,55495
090033444464,55496
090033444465,55496
090002434441,55475
